int	int	string	int	string	string	string	string	int	int[]	int[]	int[]	int	int[]	float[]	int[]
唯一di	对应家具表	说明（不读取）	等级	物品名称	物品说明	界面中的图标	场景中的美术资源	是否默认解锁	解锁条件（8：需求人气 9：需求房间  10：需求前置道具）	解锁参数	消耗1.金币#数量”	运输时间（s)	家具收益类型（1.房间订单收益/2.挂机收益/3.使用收益/4.额外收益/5.人气值/6.库存数量/7.交互时间减少）	收益数值	角色在使用设备时说的话
id	furniture_id	desc	level	name	explain	icon	art	unlock	term_type	term_num	cost_normal	waitstime	param_type	param_num	talk_tage
100101	10001	廉价小床	1	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed	1	8	0	1#100	10	1#5	2#1	
100102	10001	廉价小床	2	Furniture_Lounge_pinks_bed_name	Furniture_Lounge_pinks_bed_desc	xxs_pinks_bed_icon	xxs_pinks_bed		8	18	1#1100	30	1#5#7	3#2#5	
100103	10001	廉价小床	3	Furniture_Lounge_shining_bed_name	Furniture_Lounge_shining_bed_desc	xxs_shining_bed_icon	xxs_shining_bed		8	54	1#2640	180	1#5#7	5#3#5	
100104	10001	廉价小床	4	Furniture_Lounge_Egypt_bed_name	Furniture_Lounge_Egypt_bed_desc	xxs_Egypt_bed_icon	xxs_Egypt_bed		8	105	1#31250	330	1#5#7	7#4#10	
100105	10001	廉价小床	5	Furniture_Lounge_vampire_bed_name	Furniture_Lounge_vampire_bed_desc	xxs_vampire_bed_icon	xxs_vampire_bed		8	171	1#43100	420	1#5#7	9#5#10	
100106	10001	廉价小床	6	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	252	1#53250	510	1#5#7	12#6#10	
100107	10001	廉价小床	7	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	348	1#61330	600	1#5#7	14#7#10	
100108	10001	廉价小床	8	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	459	1#73500	690	1#5#7	16#8#25	
100109	10001	廉价小床	9	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	585	1#83630	780	1#5#7	18#9#25	
100110	10001	廉价小床	10	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	726	1#98650	900	1#5#7	20#10#25	
100201	10002	简易柜子	1	Furniture_Lounge_initial_frontdesk_name	Furniture_Lounge_initial_frontdesk_desc	xxs_initial_frontdesk_icon	xxs_initial_frontdesk	1	8	0	1#100	180	2#5	2#3	110#111
100202	10002	简易柜子	2	Furniture_Lounge_pinks_frontdesk_name	Furniture_Lounge_pinks_frontdesk_desc	xxs_pinks_frontdesk_icon	xxs_pinks_frontdesk		8	18	1#1800	420	2#5	4#4	110#111
100203	10002	简易柜子	3	Furniture_Lounge_shining_frontdesk_name	Furniture_Lounge_shining_frontdesk_desc	xxs_shining_frontdesk_icon	xxs_shining_frontdesk		8	54	1#46000	480	2#5	6#5	110#111
100204	10002	简易柜子	4	Furniture_Lounge_Egypt_frontdesk_name	Furniture_Lounge_Egypt_frontdesk_desc	xxs_Egypt_frontdesk_icon	xxs_Egypt_frontdesk		8	105	1#55870	520	2#5	8#6	110#111
100205	10002	简易柜子	5	Furniture_Lounge_vampire_frontdesk_name	Furniture_Lounge_vampire_frontdesk_desc	xxs_vampire_frontdesk_icon	xxs_vampire_frontdesk		8	171	1#68000	580	2#5	10#7	110#111
100206	10002	简易柜子	6	Furniture_Lounge_initial_frontdesk_name	Furniture_Lounge_initial_frontdesk_desc	xxs_initial_frontdesk_icon	xxs_initial_frontdesk		8	252	1#80130	625	2#5	12#8	110#111
100207	10002	简易柜子	7	Furniture_Lounge_initial_frontdesk_name	Furniture_Lounge_initial_frontdesk_desc	xxs_initial_frontdesk_icon	xxs_initial_frontdesk		8	348	1#92260	680	2#5	14#9	110#111
100208	10002	简易柜子	8	Furniture_Lounge_initial_frontdesk_name	Furniture_Lounge_initial_frontdesk_desc	xxs_initial_frontdesk_icon	xxs_initial_frontdesk		8	459	1#104390	730	2#5	16#10	110#111
100209	10002	简易柜子	9	Furniture_Lounge_initial_frontdesk_name	Furniture_Lounge_initial_frontdesk_desc	xxs_initial_frontdesk_icon	xxs_initial_frontdesk		8	585	1#116520	850	2#5	18#11	110#111
100210	10002	简易柜子	10	Furniture_Lounge_initial_frontdesk_name	Furniture_Lounge_initial_frontdesk_desc	xxs_initial_frontdesk_icon	xxs_initial_frontdesk		8	726	1#128650	990	2#5	20#12	
100301	10003	廉价小床	1	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed	1	8	0	1#1300	125	1#5	2#1	
100302	10003	廉价小床	2	Furniture_Lounge_pinks_bed_name	Furniture_Lounge_pinks_bed_desc	xxs_pinks_bed_icon	xxs_pinks_bed		8	18	1#2740	250	1#5#7	3#2#5	
100303	10003	廉价小床	3	Furniture_Lounge_shining_bed_name	Furniture_Lounge_shining_bed_desc	xxs_shining_bed_icon	xxs_shining_bed		8	54	1#31850	375	1#5#7	5#3#5	
100304	10003	廉价小床	4	Furniture_Lounge_Egypt_bed_name	Furniture_Lounge_Egypt_bed_desc	xxs_Egypt_bed_icon	xxs_Egypt_bed		8	105	1#44100	500	1#5#7	7#4#10	
100305	10003	廉价小床	5	Furniture_Lounge_vampire_bed_name	Furniture_Lounge_vampire_bed_desc	xxs_vampire_bed_icon	xxs_vampire_bed		8	171	1#54300	625	1#5#7	9#5#10	
100306	10003	廉价小床	6	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	252	1#63330	750	1#5#7	12#6#10	
100307	10003	廉价小床	7	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	348	1#75250	875	1#5#7	14#7#10	
100308	10003	廉价小床	8	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	459	1#88600	1000	1#5#7	16#8#25	
100309	10003	廉价小床	9	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	585	1#108650	1125	1#5#7	18#9#25	
100310	10003	廉价小床	10	Furniture_Lounge_initial_bed_name	Furniture_Lounge_initial_bed_desc	xxs_initial_bed_icon	xxs_initial_bed		8	726	1#119585	1250	1#5#7	20#10#25	
100401	10004	朴素门饰	1	Furniture_Lounge_initial_dooradorn_name	Furniture_Lounge_initial_dooradorn_desc	xxs_initial_dooradorn_icon	xxs_initial_dooradorn	1	8	0	1#60	125	1#5	1#1	
100402	10004	朴素门饰	2	Furniture_Lounge_pinks_dooradorn_name	Furniture_Lounge_pinks_dooradorn_desc	xxs_pinks_dooradorn_icon	xxs_pinks_dooradorn		8	18	1#1800	250	1#5	2#2	
100403	10004	朴素门饰	3	Furniture_Lounge_shining_dooradorn_name	Furniture_Lounge_shining_dooradorn_desc	xxs_shining_dooradorn_icon	xxs_shining_dooradorn		8	54	1#3000	375	1#5	3#3	
100404	10004	朴素门饰	4	Furniture_Lounge_Egypt_dooradorn_name	Furniture_Lounge_Egypt_dooradorn_desc	xxs_Egypt_dooradorn_icon	xxs_Egypt_dooradorn		8	105	1#35850	500	1#5	4#4	
100405	10004	朴素门饰	5	Furniture_Lounge_vampire_dooradorn_name	Furniture_Lounge_vampire_dooradorn_desc	xxs_vampire_dooradorn_icon	xxs_vampire_dooradorn		8	171	1#45860	625	1#5	5#5	
100406	10004	朴素门饰	6	Furniture_Lounge_initial_dooradorn_name	Furniture_Lounge_initial_dooradorn_desc	xxs_initial_dooradorn_icon	xxs_initial_dooradorn		8	252	1#58430	750	1#5	6#6	
100407	10004	朴素门饰	7	Furniture_Lounge_initial_dooradorn_name	Furniture_Lounge_initial_dooradorn_desc	xxs_initial_dooradorn_icon	xxs_initial_dooradorn		8	348	1#65325	875	1#5	7#7	
100408	10004	朴素门饰	8	Furniture_Lounge_initial_dooradorn_name	Furniture_Lounge_initial_dooradorn_desc	xxs_initial_dooradorn_icon	xxs_initial_dooradorn		8	459	1#78250	1000	1#5	8#8	
100409	10004	朴素门饰	9	Furniture_Lounge_initial_dooradorn_name	Furniture_Lounge_initial_dooradorn_desc	xxs_initial_dooradorn_icon	xxs_initial_dooradorn		8	585	1#98850	1125	1#5	9#9	
