int	int	int	int	int[]	int[]	int[]
		1.小费上限/2.离线收益/3.旅店宣传	等级	消耗1.金币；2.钻石“类型#数量”	依据type填入参数，1.金币上限数量;2.离线时间（s）;3.招募间隔（s）	下一等级参数
id	next_id	type	level	cost	param	next_param
1001	1002	1	1	2#0	50	100
1002	1003	1	2	2#5	100	500
1003	1004	1	3	2#7	500	1500
1004	1005	1	4	2#10	1500	3000
1005	1006	1	5	2#12	3000	5000
1006	1007	1	6	2#15	5000	7500
1007	1008	1	7	2#18	7500	10000
1008	1009	1	8	2#20	10000	14000
1009	1010	1	9	2#25	14000	19000
1010		1	10	2#30	19000	
2001	2002	2	1	2#0	3600	5400
2002	2003	2	2	2#5	5400	7200
2003	2004	2	3	2#7	7200	10800
2004	2005	2	4	2#10	10800	14400
2005	2006	2	5	2#12	14400	18000
2006	2007	2	6	2#15	18000	21600
2007	2008	2	7	2#18	21600	25200
2008	2009	2	8	2#20	25200	28800
2009	2010	2	9	2#25	28800	32600
2010		2	10	2#30	32600	
3001	3002	3	1	2#0	45#42	42#39
3002	3003	3	2	2#5	42#39	39#36
3003	3004	3	3	2#7	39#36	36#33
3004	3005	3	4	2#10	36#33	33#30
3005	3006	3	5	2#12	33#30	30#26
3006	3007	3	6	2#15	30#26	26#22
3007	3008	3	7	2#18	26#22	22#18
3008	3009	3	8	2#20	22#18	18#15
3009	3010	3	9	2#25	18#15	15#10
3010		3	10	2#30	15#10	
